"(1, 3)","{'down': -0.3460666487229755, 'right': -0.3584904905602991, 'up': 1.8603279134618331, 'left': -0.3400581847873092}"
"(6, 6)","{'down': -0.3861987494411917, 'right': -0.38830236562847936, 'up': -0.3984439658384739, 'left': -0.4077087569737451}"
"(3, 0)","{'down': 20.728751723502715, 'right': 21.82319990789386, 'up': 17.312174397559115, 'left': 13.68105659789406}"
"(3, 2)","{'down': 4.055568746154687, 'right': 0.2745260487392691, 'up': 17.094199281237362, 'left': 0.37502344219992667}"
"(2, 1)","{'down': 12.309931825773656, 'right': 20.578887345231593, 'up': 9.251836635418345, 'left': 6.401071082583539}"
"(0, 0)","{'down': 0.7784996818766695, 'right': 10.929361397175857, 'up': -0.20469736032751853, 'left': -0.2234940829172794}"
"(1, 6)","{'down': -0.41252356045177446, 'right': -0.40295149261676616, 'up': -0.40074790102477925, 'left': -0.4126772714213005}"
"(5, 1)","{'down': 27.403998928904695, 'right': 43.09999999999886, 'up': 34.92607409681376, 'left': 27.40397797836515}"
"(2, 5)","{'down': -0.3992758308615036, 'right': -0.39326805290109823, 'up': -0.3922736884550604, 'left': -0.3968419698020398}"
"(0, 3)","{'down': 2.7539349897979877, 'right': 0.23988478910045835, 'up': 5.3205313377055905, 'left': -0.31550896527886624}"
"(4, 0)","{'down': 27.403999999311456, 'right': 21.741305143095456, 'up': 21.730984521651457, 'left': 17.283906185142026}"
"(1, 2)","{'down': -0.3443412454294576, 'right': -0.3154100550363134, 'up': -0.3082678669450254, 'left': 4.476488687268863}"
"(3, 3)","{'down': 13.030769940318763, 'right': 17.117322741549454, 'up': 3.937046996042405, 'left': 5.831441266345383}"
"(1, 5)","{'down': -0.4194414158256251, 'right': -0.37644770845770487, 'up': -0.3855791274776662, 'left': 0.7837786589145743}"
"(4, 4)","{'down': -0.39431967677428026, 'right': -0.39731886209455414, 'up': -0.41509975417071976, 'left': -0.4005359420554513}"
"(6, 3)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(5, 6)","{'down': -0.39526636731844383, 'right': -0.39315305846284965, 'up': -0.40039314282488647, 'left': -0.40602938335970157}"
"(3, 6)","{'down': -0.3956543163860956, 'right': -0.4018731028238951, 'up': -0.391120881619206, 'left': -0.4043665264231227}"
"(2, 2)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(3, 5)","{'down': -0.40221665762218695, 'right': -0.3894402759197653, 'up': -0.3861016904576531, 'left': -0.40076091196849073}"
"(4, 1)","{'down': 24.94685048518778, 'right': 34.379999999983454, 'up': 21.843842972890485, 'left': 20.970154968588492}"
"(1, 1)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(6, 4)","{'down': -0.4046224768440153, 'right': -0.39864393515274177, 'up': -0.40543682223685773, 'left': -0.40501609759506396}"
"(5, 4)","{'down': -0.3972128598162349, 'right': -0.40139178430294575, 'up': -0.39776384284602007, 'left': -0.40802336551016893}"
"(2, 6)","{'down': -0.39822196432583634, 'right': -0.3951679786739195, 'up': -0.4003879283343368, 'left': -0.4165666524311452}"
"(5, 0)","{'down': 34.378145146345275, 'right': 54.0, 'up': 43.06861436721797, 'left': 11.334339502007994}"
"(4, 5)","{'down': -0.4035227333117481, 'right': -0.40168990648495084, 'up': -0.39388128886834806, 'left': -0.39077361872264815}"
"(0, 4)","{'down': 2.0540083352511194, 'right': -0.36985817078259603, 'up': 4.146036605530787, 'left': 1.815900636674799}"
"(5, 5)","{'down': -0.39610663877304575, 'right': -0.41003916275745, 'up': -0.40043669146061805, 'left': -0.3883144039560743}"
"(1, 4)","{'down': -0.3815558490849704, 'right': -0.3727958942168743, 'up': 0.260565800546834, 'left': -0.37171084929697545}"
"(6, 0)","{'down': 30, 'right': 30, 'up': 30, 'left': 30}"
"(2, 3)","{'down': -0.3939162947073761, 'right': -0.36609392531676777, 'up': -0.3703150503332061, 'left': -0.32676794604734405}"
"(2, 4)","{'down': -0.38272434411986694, 'right': -0.4059283315103074, 'up': -0.37968995371192016, 'left': -0.37820947460832927}"
"(4, 2)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(1, 0)","{'down': 9.321937932092236, 'right': 13.786843214527565, 'up': 6.063173769645171, 'left': -0.11294149033976669}"
"(6, 5)","{'down': -0.3939550106248801, 'right': -0.4065321712178522, 'up': -0.404906844097567, 'left': -0.4075629956261432}"
"(5, 3)","{'down': 17.20266054721621, 'right': 19.972876713365068, 'up': 27.404000000000003, 'left': 18.835425148207225}"
"(0, 1)","{'down': -0.29424851867746205, 'right': 0.7841484114529702, 'up': 8.642532262408931, 'left': 4.23195880594982}"
"(4, 6)","{'down': -0.40152293371631415, 'right': -0.3999143357738257, 'up': -0.3949494147093849, 'left': -0.40512964254765615}"
"(3, 4)","{'down': -0.40182824184575605, 'right': -0.405821128570855, 'up': -0.3999531378317465, 'left': -0.39438852196164986}"
"(6, 1)","{'down': 33.56507230245404, 'right': 42.44050604578023, 'up': 53.99999999999997, 'left': 34.27689295264623}"
"(3, 1)","{'down': 6.742404438093787, 'right': 27.238411101414716, 'up': 17.22021330098562, 'left': 11.955903349819005}"
"(0, 6)","{'down': -0.4105974633449891, 'right': -0.41005691126148297, 'up': 2.392693251172513, 'left': -0.41070503827355065}"
"(2, 0)","{'down': 12.011432681625552, 'right': 17.358559173443105, 'up': 10.236240320890163, 'left': 10.72257075018734}"
"(6, 2)","{'down': 22.193245104282425, 'right': 33.7409094955424, 'up': 43.075254627215116, 'left': 26.785180915754506}"
"(4, 3)","{'down': -0.41281233260132477, 'right': -0.41964049303254414, 'up': -0.41931476253194017, 'left': -0.4089969692379919}"
"(0, 5)","{'down': 1.3969733795176926, 'right': 0.3571562614052484, 'up': 3.1367743726685653, 'left': -0.3902657559652784}"
"(5, 2)","{'down': 26.516702841492418, 'right': 34.192957667665596, 'up': 34.37999992283026, 'left': 27.400927382828456}"
"(0, 2)","{'down': -0.2957855578766485, 'right': -0.3082009131063437, 'up': 6.809324760044243, 'left': -0.3056081576107563}"
